Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
13/02/2013,13/03/2013,18.12,V ngm-3,553.7,V ngm-3,43.99,V ngm-3,50.37,V ngm-3,1365.6,V ngm-3,44.01,V ngm-3,,,,,,,,,,,,,
06/03/2013,13/03/2013,,,,,,,,,,,,,2.57,V ngm-3,109.3,V ngm-3,12.69,V ngm-3,19.23,V ngm-3,634.6,V ngm-3,50.79,V ngm-3,
13/03/2013,21/03/2013,,,,,,,,,,,,,2.86,V ngm-3,114.2,V ngm-3,9.89,V ngm-3,19.18,V ngm-3,519.5,V ngm-3,25.02,V ngm-3,
21/03/2013,27/03/2013,,,,,,,,,,,,,2,V ngm-3,125.8,V ngm-3,10.86,V ngm-3,9.6,V ngm-3,280.2,V ngm-3,20.74,V ngm-3,
27/03/2013,03/04/2013,,,,,,,,,,,,,2.37,V ngm-3,135.5,V ngm-3,12.75,V ngm-3,13.31,V ngm-3,388.1,V ngm-3,21.21,V ngm-3,
13/03/2013,10/04/2013,,,,,,,34.83,V ngm-3,965.4,V ngm-3,28.02,V ngm-3,,,,,,,,,,,,,
03/04/2013,10/04/2013,,,,,,,,,,,,,4.09,V ngm-3,251,V ngm-3,20.16,V ngm-3,18.22,V ngm-3,616.7,V ngm-3,36.58,V ngm-3,
13/03/2013,11/04/2013,14.95,V ngm-3,468.1,V ngm-3,26.92,V ngm-3,,,,,,,,,,,,,,,,,,,
10/04/2013,17/04/2013,,,,,,,,,,,,,3.87,V ngm-3,115.7,V ngm-3,16.1,V ngm-3,8.41,V ngm-3,498.8,V ngm-3,25.6,V ngm-3,
17/04/2013,26/04/2013,,,,,,,,,,,,,3.35,V ngm-3,72.1,V ngm-3,6.97,V ngm-3,14.54,V ngm-3,369.1,V ngm-3,16.54,V ngm-3,
26/04/2013,01/05/2013,,,,,,,,,,,,,2.35,V ngm-3,151.9,V ngm-3,10.34,V ngm-3,28.22,V ngm-3,550.7,V ngm-3,44.56,V ngm-3,
11/04/2013,07/05/2013,14.2,V ngm-3,438.8,V ngm-3,15.31,V ngm-3,,,,,,,,,,,,,,,,,,,
10/04/2013,08/05/2013,,,,,,,75.57,V ngm-3,1907,V ngm-3,35.74,V ngm-3,,,,,,,,,,,,,
01/05/2013,10/05/2013,,,,,,,,,,,,,2.18,V ngm-3,137.8,V ngm-3,9.71,V ngm-3,13.92,V ngm-3,554.7,V ngm-3,22.98,V ngm-3,
10/05/2013,15/05/2013,,,,,,,,,,,,,2.44,V ngm-3,56.4,V ngm-3,5.87,V ngm-3,8.54,V ngm-3,227.7,V ngm-3,6.81,V ngm-3,
15/05/2013,22/05/2013,,,,,,,,,,,,,2.24,V ngm-3,102.4,V ngm-3,12.84,V ngm-3,17,V ngm-3,431.1,V ngm-3,22.03,V ngm-3,
22/05/2013,30/05/2013,,,,,,,,,,,,,1.47,V ngm-3,66.8,V ngm-3,9.58,V ngm-3,21.19,V ngm-3,384.5,V ngm-3,15.92,V ngm-3,
07/05/2013,05/06/2013,14.67,V ngm-3,433.4,V ngm-3,15.24,V ngm-3,,,,,,,,,,,,,,,,,,,
08/05/2013,05/06/2013,,,,,,,49.53,V ngm-3,1223.3,V ngm-3,22.45,V ngm-3,,,,,,,,,,,,,
30/05/2013,05/06/2013,,,,,,,,,,,,,2.3,V ngm-3,150,V ngm-3,12.6,V ngm-3,18.93,V ngm-3,444.7,V ngm-3,22.94,V ngm-3,
05/06/2013,12/06/2013,,,,,,,,,,,,,4.46,V ngm-3,650.2,V ngm-3,17.63,V ngm-3,15.89,V ngm-3,491.4,V ngm-3,33.26,V ngm-3,
12/06/2013,19/06/2013,,,,,,,,,,,,,2.79,V ngm-3,130.4,V ngm-3,14.42,V ngm-3,59.14,V ngm-3,440.3,V ngm-3,25.24,V ngm-3,
19/06/2013,27/06/2013,,,,,,,,,,,,,2.12,V ngm-3,77,V ngm-3,6.72,V ngm-3,16.22,V ngm-3,391.3,V ngm-3,13.1,V ngm-3,
05/06/2013,03/07/2013,,,,,,,62.99,V ngm-3,1468.3,V ngm-3,30.8,V ngm-3,,,,,,,,,,,,,
05/06/2013,04/07/2013,14.34,V ngm-3,413.9,V ngm-3,19.86,V ngm-3,,,,,,,,,,,,,,,,,,,
27/06/2013,04/07/2013,,,,,,,,,,,,,3.36,V ngm-3,71.1,V ngm-3,8.46,V ngm-3,19.33,V ngm-3,333.4,V ngm-3,26.28,V ngm-3,
04/07/2013,10/07/2013,,,,,,,,,,,,,4.56,V ngm-3,486.1,V ngm-3,41.17,V ngm-3,27.98,V ngm-3,737.9,V ngm-3,48.19,V ngm-3,
03/07/2013,17/07/2013,,,,,,,70.22,V ngm-3,1642.6,V ngm-3,35.67,V ngm-3,,,,,,,,,,,,,
10/07/2013,17/07/2013,,,,,,,,,,,,,7.07,V ngm-3,735.3,V ngm-3,56.12,V ngm-3,27.64,V ngm-3,1042.7,V ngm-3,54.83,V ngm-3,
17/07/2013,24/07/2013,,,,,,,,,,,,,8.37,V ngm-3,316.1,V ngm-3,42.54,V ngm-3,15.64,V ngm-3,616.9,V ngm-3,28.87,V ngm-3,
04/07/2013,31/07/2013,16.95,V ngm-3,522.8,V ngm-3,24.77,V ngm-3,,,,,,,,,,,,,,,,,,,
17/07/2013,31/07/2013,,,,,,,96.66,V ngm-3,2140,V ngm-3,39.68,V ngm-3,,,,,,,,,,,,,
24/07/2013,01/08/2013,,,,,,,,,,,,,4.15,V ngm-3,152.6,V ngm-3,16.38,V ngm-3,16.56,V ngm-3,479.8,V ngm-3,24.13,V ngm-3,
01/08/2013,07/08/2013,,,,,,,,,,,,,2.67,V ngm-3,120.4,V ngm-3,16.28,V ngm-3,15.69,V ngm-3,380.9,V ngm-3,17.28,V ngm-3,
07/08/2013,15/08/2013,,,,,,,,,,,,,2.25,V ngm-3,85.1,V ngm-3,11.61,V ngm-3,20.74,V ngm-3,465,V ngm-3,30.39,V ngm-3,
15/08/2013,21/08/2013,,,,,,,,,,,,,3.47,V ngm-3,60.6,V ngm-3,8.31,V ngm-3,15.78,V ngm-3,358.8,V ngm-3,19.02,V ngm-3,
31/07/2013,28/08/2013,,,,,,,71.21,V ngm-3,1603.2,V ngm-3,29.22,V ngm-3,,,,,,,,,,,,,
21/08/2013,28/08/2013,,,,,,,,,,,,,4.03,V ngm-3,199.3,V ngm-3,16.71,V ngm-3,20.02,V ngm-3,575.9,V ngm-3,35.23,V ngm-3,
31/07/2013,29/08/2013,12.76,V ngm-3,376.1,V ngm-3,14.32,V ngm-3,,,,,,,,,,,,,,,,,,,
28/08/2013,05/09/2013,,,,,,,,,,,,,3.95,V ngm-3,162.2,V ngm-3,15.36,V ngm-3,34.7,V ngm-3,583,V ngm-3,25.47,V ngm-3,
05/09/2013,11/09/2013,,,,,,,,,,,,,1.69,V ngm-3,59.5,V ngm-3,5.53,V ngm-3,18.48,V ngm-3,484,V ngm-3,15.25,V ngm-3,
11/09/2013,18/09/2013,,,,,,,,,,,,,1.83,V ngm-3,41.5,V ngm-3,2.57,V ngm-3,18.62,V ngm-3,374.7,V ngm-3,9.23,V ngm-3,
29/08/2013,25/09/2013,16.92,V ngm-3,471.8,V ngm-3,17.96,V ngm-3,,,,,,,,,,,,,,,,,,,
28/08/2013,25/09/2013,,,,,,,70.69,V ngm-3,1659.6,V ngm-3,32.77,V ngm-3,,,,,,,,,,,,,
18/09/2013,26/09/2013,,,,,,,,,,,,,4.92,V ngm-3,203.9,V ngm-3,31.29,V ngm-3,33.85,V ngm-3,625.4,V ngm-3,38.12,V ngm-3,
26/09/2013,03/10/2013,,,,,,,,,,,,,6.25,V ngm-3,228.5,V ngm-3,29.07,V ngm-3,17.22,V ngm-3,820.7,V ngm-3,55.25,V ngm-3,
03/10/2013,09/10/2013,,,,,,,,,,,,,2.87,V ngm-3,139.6,V ngm-3,21.22,V ngm-3,16.56,V ngm-3,422.2,V ngm-3,31.57,V ngm-3,
09/10/2013,16/10/2013,,,,,,,,,,,,,2.39,V ngm-3,92.4,V ngm-3,10.85,V ngm-3,28.76,V ngm-3,567.4,V ngm-3,86.2,V ngm-3,
25/09/2013,22/10/2013,20.29,V ngm-3,557.7,V ngm-3,28.23,V ngm-3,,,,,,,,,,,,,,,,,,,
25/09/2013,23/10/2013,,,,,,,76.29,V ngm-3,1801.6,V ngm-3,37.25,V ngm-3,,,,,,,,,,,,,
16/10/2013,23/10/2013,,,,,,,,,,,,,2.41,V ngm-3,92.7,V ngm-3,19.86,V ngm-3,8.86,V ngm-3,275.4,V ngm-3,16.77,V ngm-3,
23/10/2013,30/10/2013,,,,,,,,,,,,,1.78,V ngm-3,53.4,V ngm-3,7.75,V ngm-3,20.16,V ngm-3,416.3,V ngm-3,17.56,V ngm-3,
30/10/2013,07/11/2013,,,,,,,,,,,,,8.01,V ngm-3,67.7,V ngm-3,14.53,V ngm-3,28.57,V ngm-3,455.2,V ngm-3,21.15,V ngm-3,
07/11/2013,13/11/2013,,,,,,,,,,,,,5.32,V ngm-3,120,V ngm-3,19,V ngm-3,40.22,V ngm-3,848,V ngm-3,43.25,V ngm-3,
23/10/2013,20/11/2013,,,,,,,69.24,V ngm-3,1586.3,V ngm-3,35.26,V ngm-3,,,,,,,,,,,,,
22/10/2013,21/11/2013,18.3,V ngm-3,400.6,V ngm-3,26.2,V ngm-3,,,,,,,,,,,,,,,,,,,
13/11/2013,21/11/2013,,,,,,,,,,,,,3.32,V ngm-3,106.6,V ngm-3,7.33,V ngm-3,32.94,V ngm-3,689.1,V ngm-3,23.54,V ngm-3,
21/11/2013,28/11/2013,,,,,,,,,,,,,7.17,V ngm-3,198.8,V ngm-3,13.67,V ngm-3,58.87,V ngm-3,1106.1,V ngm-3,57.72,V ngm-3,
28/11/2013,05/12/2013,,,,,,,,,,,,,8.3,V ngm-3,273.6,V ngm-3,31.52,V ngm-3,67.34,V ngm-3,1037,V ngm-3,37.85,V ngm-3,
05/12/2013,11/12/2013,,,,,,,,,,,,,5.46,V ngm-3,281.3,V ngm-3,34.46,V ngm-3,54.63,V ngm-3,981.3,V ngm-3,59.33,V ngm-3,
21/11/2013,17/12/2013,23.33,V ngm-3,607.6,V ngm-3,31.78,V ngm-3,,,,,,,,,,,,,,,,,,,
20/11/2013,18/12/2013,,,,,,,58.03,V ngm-3,1485.9,V ngm-3,34.99,V ngm-3,,,,,,,,,,,,,
11/12/2013,18/12/2013,,,,,,,,,,,,,3.32,V ngm-3,302,V ngm-3,33.55,V ngm-3,24.25,V ngm-3,751.8,V ngm-3,101.93,V ngm-3,
18/12/2013,24/12/2013,,,,,,,,,,,,,3,V ngm-3,61.2,V ngm-3,7.79,V ngm-3,14.43,V ngm-3,397.5,V ngm-3,9.34,V ngm-3,
17/12/2013,31/12/2013,7.95,V ngm-3,211,V ngm-3,7.98,V ngm-3,,,,,,,,,,,,,,,,,,,
18/12/2013,31/12/2013,,,,,,,56.35,V ngm-3,1437.9,V ngm-3,23.46,V ngm-3,,,,,,,,,,,,,
24/12/2013,31/12/2013,,,,,,,,,,,,,2.85,V ngm-3,211.1,V ngm-3,22.51,V ngm-3,14.23,V ngm-3,393.8,V ngm-3,16.89,V ngm-3,
Data for year 2014
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2014,02/01/2014,,,,,,,,,,,,,2.77,V ngm-3,205.4,V ngm-3,21.91,V ngm-3,14.03,V ngm-3,388.3,V ngm-3,16.65,V ngm-3,
02/01/2014,09/01/2014,,,,,,,,,,,,,4.5,V ngm-3,422,V ngm-3,16.16,V ngm-3,10.22,V ngm-3,515.1,V ngm-3,49.35,V ngm-3,
01/01/2014,15/01/2014,8.07,V ngm-3,214.3,V ngm-3,8.11,V ngm-3,55.47,V ngm-3,1415.3,V ngm-3,23.09,V ngm-3,,,,,,,,,,,,,
09/01/2014,15/01/2014,,,,,,,,,,,,,3.53,V ngm-3,178.3,V ngm-3,15.55,V ngm-3,26.62,V ngm-3,634.8,V ngm-3,34.11,V ngm-3,
15/01/2014,22/01/2014,,,,,,,,,,,,,3.74,V ngm-3,235.8,V ngm-3,41.21,V ngm-3,19.77,V ngm-3,889.6,V ngm-3,147.32,V ngm-3,
22/01/2014,29/01/2014,,,,,,,,,,,,,1.75,V ngm-3,63.4,V ngm-3,7.89,V ngm-3,12.43,V ngm-3,372.4,V ngm-3,37.54,V ngm-3,
15/01/2014,05/02/2014,,,,,,,51.73,V ngm-3,1280.5,V ngm-3,26.72,V ngm-3,,,,,,,,,,,,,
29/01/2014,05/02/2014,,,,,,,,,,,,,2.1,V ngm-3,136.2,V ngm-3,13.67,V ngm-3,15.82,V ngm-3,741.2,V ngm-3,96.47,V ngm-3,
15/01/2014,13/02/2014,12.61,V ngm-3,326.9,V ngm-3,16.03,V ngm-3,,,,,,,,,,,,,,,,,,,
05/02/2014,13/02/2014,,,,,,,,,,,,,2.31,V ngm-3,178.8,V ngm-3,10.5,V ngm-3,19.96,V ngm-3,294.1,V ngm-3,11.54,V ngm-3,
13/02/2014,19/02/2014,,,,,,,,,,,,,2.42,V ngm-3,158.5,V ngm-3,16.73,V ngm-3,16.18,V ngm-3,728.8,V ngm-3,102.84,V ngm-3,
19/02/2014,26/02/2014,,,,,,,,,,,,,3.52,V ngm-3,131.3,V ngm-3,12.26,V ngm-3,38.79,V ngm-3,270.9,V ngm-3,13.91,V ngm-3,
26/02/2014,06/03/2014,,,,,,,,,,,,,2.57,V ngm-3,134.9,V ngm-3,10.86,V ngm-3,23.37,V ngm-3,493.5,V ngm-3,19.34,V ngm-3,
13/02/2014,11/03/2014,11.78,V ngm-3,339.7,V ngm-3,17.86,V ngm-3,,,,,,,,,,,,,,,,,,,
12/02/2014,12/03/2014,,,,,,,69.61,V ngm-3,1775.3,V ngm-3,34.13,V ngm-3,,,,,,,,,,,,,
06/03/2014,12/03/2014,,,,,,,,,,,,,4.75,V ngm-3,277.1,V ngm-3,31.82,V ngm-3,38.33,V ngm-3,997.2,V ngm-3,81.15,V ngm-3,
12/03/2014,19/03/2014,,,,,,,,,,,,,7.57,V ngm-3,373.6,V ngm-3,42.03,V ngm-3,34.24,V ngm-3,950.2,V ngm-3,64.07,V ngm-3,
19/03/2014,26/03/2014,,,,,,,,,,,,,2.3,V ngm-3,62.5,V ngm-3,7.4,V ngm-3,33.9,V ngm-3,478.1,V ngm-3,33.29,V ngm-3,
26/03/2014,04/04/2014,,,,,,,,,,,,,3.92,V ngm-3,207.6,V ngm-3,17.43,V ngm-3,17.23,V ngm-3,683.8,V ngm-3,58.56,V ngm-3,
11/03/2014,09/04/2014,19.25,V ngm-3,623.8,V ngm-3,32.52,V ngm-3,,,,,,,,,,,,,,,,,,,
12/03/2014,09/04/2014,,,,,,,71.65,V ngm-3,1920.7,V ngm-3,42.8,V ngm-3,,,,,,,,,,,,,
04/04/2014,09/04/2014,,,,,,,,,,,,,2.87,V ngm-3,325.5,V ngm-3,42.24,V ngm-3,11.6,V ngm-3,372.1,V ngm-3,56.58,V ngm-3,
09/04/2014,16/04/2014,,,,,,,,,,,,,3.24,V ngm-3,231.8,V ngm-3,12.34,V ngm-3,22.24,V ngm-3,616.2,V ngm-3,21.37,V ngm-3,
16/04/2014,23/04/2014,,,,,,,,,,,,,3.83,V ngm-3,167.4,V ngm-3,17.72,V ngm-3,14.11,V ngm-3,587.4,V ngm-3,56.06,V ngm-3,
23/04/2014,01/05/2014,,,,,,,,,,,,,3.63,V ngm-3,193.3,V ngm-3,25.62,V ngm-3,19.97,V ngm-3,622.8,V ngm-3,48.93,V ngm-3,
09/04/2014,07/05/2014,,,,,,,63.47,V ngm-3,1633.2,V ngm-3,31.03,V ngm-3,,,,,,,,,,,,,
09/04/2014,08/05/2014,14.34,V ngm-3,418.6,V ngm-3,18.56,V ngm-3,,,,,,,,,,,,,,,,,,,
01/05/2014,08/05/2014,,,,,,,,,,,,,3.21,V ngm-3,236.8,V ngm-3,28.94,V ngm-3,13.42,V ngm-3,507.7,V ngm-3,26.42,V ngm-3,
08/05/2014,14/05/2014,,,,,,,,,,,,,1.26,V ngm-3,38.8,V ngm-3,1.85,V ngm-3,12.99,V ngm-3,330.6,V ngm-3,8.79,V ngm-3,
14/05/2014,21/05/2014,,,,,,,,,,,,,4.2,V ngm-3,315.1,V ngm-3,50.74,V ngm-3,18.46,V ngm-3,738.2,V ngm-3,72.01,V ngm-3,
21/05/2014,28/05/2014,,,,,,,,,,,,,2.1,V ngm-3,137.3,V ngm-3,11.01,V ngm-3,17.49,V ngm-3,404.6,V ngm-3,21.2,V ngm-3,
07/05/2014,04/06/2014,,,,,,,69.25,V ngm-3,1730.1,V ngm-3,31.66,V ngm-3,,,,,,,,,,,,,
28/05/2014,04/06/2014,,,,,,,,,,,,,2.85,V ngm-3,76.8,V ngm-3,9.23,V ngm-3,19.93,V ngm-3,419.3,V ngm-3,13.13,V ngm-3,
08/05/2014,05/06/2014,13.7,V ngm-3,392.5,V ngm-3,18.35,V ngm-3,,,,,,,,,,,,,,,,,,,
04/06/2014,11/06/2014,,,,,,,,,,,,,4.8,V ngm-3,168.1,V ngm-3,30.66,V ngm-3,15.78,V ngm-3,411.1,V ngm-3,54.74,V ngm-3,
11/06/2014,18/06/2014,,,,,,,,,,,,,3.69,V ngm-3,163.6,V ngm-3,15.43,V ngm-3,24.68,V ngm-3,553,V ngm-3,34.67,V ngm-3,
18/06/2014,25/06/2014,,,,,,,,,,,,,3.59,V ngm-3,281.9,V ngm-3,19.43,V ngm-3,18.69,V ngm-3,596.8,V ngm-3,33.84,V ngm-3,
05/06/2014,01/07/2014,18.65,V ngm-3,549.2,V ngm-3,24.63,V ngm-3,,,,,,,,,,,,,,,,,,,
04/06/2014,02/07/2014,,,,,,,67.95,V ngm-3,1650.3,V ngm-3,29.53,V ngm-3,,,,,,,,,,,,,
25/06/2014,02/07/2014,,,,,,,,,,,,,3.4,V ngm-3,233.9,V ngm-3,21.77,V ngm-3,18.19,V ngm-3,606.3,V ngm-3,49.8,V ngm-3,
02/07/2014,09/07/2014,,,,,,,,,,,,,2.6,V ngm-3,56.2,V ngm-3,4.68,V ngm-3,23.14,V ngm-3,348.8,V ngm-3,11.63,V ngm-3,
09/07/2014,16/07/2014,,,,,,,,,,,,,2.07,V ngm-3,59.8,V ngm-3,5.21,V ngm-3,15.82,V ngm-3,364.5,V ngm-3,9.61,V ngm-3,
16/07/2014,23/07/2014,,,,,,,,,,,,,3.72,V ngm-3,241.9,V ngm-3,21.34,V ngm-3,18.95,V ngm-3,547.7,V ngm-3,34.57,V ngm-3,
01/07/2014,30/07/2014,17.13,V ngm-3,537.6,V ngm-3,25.41,V ngm-3,,,,,,,,,,,,,,,,,,,
02/07/2014,30/07/2014,,,,,,,60.81,V ngm-3,1542.7,V ngm-3,27.45,V ngm-3,,,,,,,,,,,,,
23/07/2014,30/07/2014,,,,,,,,,,,,,3.21,V ngm-3,232.4,V ngm-3,15.04,V ngm-3,23.26,V ngm-3,648.5,V ngm-3,29.48,V ngm-3,
30/07/2014,06/08/2014,,,,,,,,,,,,,15.57,V ngm-3,127.3,V ngm-3,9.83,V ngm-3,25.22,V ngm-3,372.5,V ngm-3,19.96,V ngm-3,
06/08/2014,13/08/2014,,,,,,,,,,,,,10.82,V ngm-3,77.9,V ngm-3,5.24,V ngm-3,18.88,V ngm-3,384.3,V ngm-3,21.91,V ngm-3,
13/08/2014,20/08/2014,,,,,,,,,,,,,2.14,V ngm-3,54.2,V ngm-3,3.25,V ngm-3,41.38,V ngm-3,412.1,V ngm-3,12.33,V ngm-3,
30/07/2014,27/08/2014,19.06,V ngm-3,576.7,V ngm-3,47.99,V ngm-3,62.55,V ngm-3,1566.6,V ngm-3,25.51,V ngm-3,,,,,,,,,,,,,
20/08/2014,29/08/2014,,,,,,,,,,,,,2.14,V ngm-3,83.8,V ngm-3,10.82,V ngm-3,14.23,V ngm-3,450.5,V ngm-3,36.18,V ngm-3,
29/08/2014,03/09/2014,,,,,,,,,,,,,2.78,V ngm-3,125.6,V ngm-3,10.3,V ngm-3,20.98,V ngm-3,566,V ngm-3,26.16,V ngm-3,
03/09/2014,10/09/2014,,,,,,,,,,,,,6.67,V ngm-3,370.6,V ngm-3,26.23,V ngm-3,36.68,V ngm-3,929.9,V ngm-3,41.91,V ngm-3,
10/09/2014,17/09/2014,,,,,,,,,,,,,5.17,V ngm-3,193.7,V ngm-3,13.89,V ngm-3,30.05,V ngm-3,661,V ngm-3,28.67,V ngm-3,
27/08/2014,24/09/2014,17.4,V ngm-3,504,V ngm-3,20.62,V ngm-3,56.98,V ngm-3,1416.9,V ngm-3,32.37,V ngm-3,,,,,,,,,,,,,
17/09/2014,24/09/2014,,,,,,,,,,,,,4.7,V ngm-3,190.7,V ngm-3,14.34,V ngm-3,30.74,V ngm-3,673.3,V ngm-3,24.04,V ngm-3,
24/09/2014,01/10/2014,,,,,,,,,,,,,7.97,V ngm-3,135.5,V ngm-3,13.5,V ngm-3,46.44,V ngm-3,562,V ngm-3,22.99,V ngm-3,
01/10/2014,07/10/2014,,,,,,,,,,,,,4.03,V ngm-3,191.7,V ngm-3,12.02,V ngm-3,20.2,V ngm-3,455.3,V ngm-3,13.75,V ngm-3,
07/10/2014,15/10/2014,,,,,,,,,,,,,3.1,V ngm-3,87.7,V ngm-3,7.82,V ngm-3,19.73,V ngm-3,479.7,V ngm-3,15.08,V ngm-3,
24/09/2014,22/10/2014,16.55,V ngm-3,446.1,V ngm-3,24.26,V ngm-3,63.2,V ngm-3,1592.6,V ngm-3,32.52,V ngm-3,,,,,,,,,,,,,
15/10/2014,22/10/2014,,,,,,,,,,,,,3.02,V ngm-3,134.2,V ngm-3,16.22,V ngm-3,13.31,V ngm-3,427,V ngm-3,28.34,V ngm-3,
22/10/2014,29/10/2014,,,,,,,,,,,,,3.88,V ngm-3,152,V ngm-3,12.24,V ngm-3,22.98,V ngm-3,478.7,V ngm-3,28.69,V ngm-3,
29/10/2014,05/11/2014,,,,,,,,,,,,,4.49,V ngm-3,283.1,V ngm-3,35.43,V ngm-3,18.43,V ngm-3,720.2,V ngm-3,59.78,V ngm-3,
05/11/2014,13/11/2014,,,,,,,,,,,,,11.54,V ngm-3,246.9,V ngm-3,34.65,V ngm-3,32.09,V ngm-3,595.1,V ngm-3,70.62,V ngm-3,
22/10/2014,19/11/2014,19.31,V ngm-3,436.1,V ngm-3,23.59,V ngm-3,,,,,,,,,,,,,,,,,,,
29/10/2014,19/11/2014,,,,,,,65.72,V ngm-3,1595.4,V ngm-3,41.06,V ngm-3,,,,,,,,,,,,,
13/11/2014,19/11/2014,,,,,,,,,,,,,2.85,V ngm-3,91.9,V ngm-3,18.1,V ngm-3,21.98,V ngm-3,582,V ngm-3,40.52,V ngm-3,
19/11/2014,26/11/2014,,,,,,,,,,,,,4.74,V ngm-3,137.2,V ngm-3,15.06,V ngm-3,39.75,V ngm-3,829.7,V ngm-3,40.46,V ngm-3,
26/11/2014,03/12/2014,,,,,,,,,,,,,5.5,V ngm-3,190,V ngm-3,17.57,V ngm-3,40.76,V ngm-3,1032.9,V ngm-3,45.23,V ngm-3,
03/12/2014,10/12/2014,,,,,,,,,,,,,4.37,V ngm-3,120.4,V ngm-3,9.45,V ngm-3,39.54,V ngm-3,833.8,V ngm-3,25.23,V ngm-3,
19/11/2014,17/12/2014,25.51,V ngm-3,699,V ngm-3,39.73,V ngm-3,53.8,V ngm-3,1466.7,V ngm-3,43.16,V ngm-3,,,,,,,,,,,,,
10/12/2014,17/12/2014,,,,,,,,,,,,,4.28,V ngm-3,104,V ngm-3,6.94,V ngm-3,41.82,V ngm-3,959.3,V ngm-3,36.92,V ngm-3,
17/12/2014,23/12/2014,,,,,,,,,,,,,2.03,V ngm-3,44.9,V ngm-3,2.22,V ngm-3,12.45,V ngm-3,350.7,V ngm-3,6.55,V ngm-3,
17/12/2014,31/12/2014,10.03,V ngm-3,272.5,V ngm-3,10.78,V ngm-3,49.46,V ngm-3,1415.6,V ngm-3,25.93,V ngm-3,,,,,,,,,,,,,
23/12/2014,31/12/2014,,,,,,,,,,,,,2.83,V ngm-3,155,V ngm-3,18.33,V ngm-3,19.93,V ngm-3,514.1,V ngm-3,17.09,V ngm-3,

End of file
