Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
31/08/2011,07/09/2011,,,,,,,,,,,,,2.91,V ngm-3,89.2,V ngm-3,6.87,V ngm-3,54.01,V ngm-3,463.8,V ngm-3,30.58,V ngm-3,
07/09/2011,14/09/2011,,,,,,,,,,,,,2.13,V ngm-3,83.6,V ngm-3,6.09,V ngm-3,14.37,V ngm-3,412.8,V ngm-3,17.01,V ngm-3,
14/09/2011,21/09/2011,,,,,,,,,,,,,3.63,V ngm-3,93.3,V ngm-3,7.14,V ngm-3,24.69,V ngm-3,521.4,V ngm-3,18.85,V ngm-3,
31/08/2011,28/09/2011,14.43,V ngm-3,362.1,V ngm-3,13.45,V ngm-3,93.88,V ngm-3,1930.6,V ngm-3,33.56,V ngm-3,,,,,,,,,,,,,
21/09/2011,28/09/2011,,,,,,,,,,,,,3.69,V ngm-3,117,V ngm-3,10.15,V ngm-3,22.16,V ngm-3,563.5,V ngm-3,28.53,V ngm-3,
28/09/2011,05/10/2011,,,,,,,,,,,,,6.83,V ngm-3,291,V ngm-3,27.47,V ngm-3,14.85,V ngm-3,443.1,V ngm-3,6.57,V ngm-3,
05/10/2011,12/10/2011,,,,,,,,,,,,,2.58,V ngm-3,406.6,V ngm-3,6.16,V ngm-3,15.01,V ngm-3,447.9,V ngm-3,6.64,V ngm-3,
12/10/2011,17/10/2011,,,,,,,,,,,,,6.34,V ngm-3,190.6,V ngm-3,21.7,V ngm-3,,,,,,,
12/10/2011,19/10/2011,,,,,,,,,,,,,,,,,,,33.95,V ngm-3,655.6,V ngm-3,34.65,V ngm-3,
28/09/2011,26/10/2011,21.12,V ngm-3,529.2,V ngm-3,22.36,V ngm-3,93.48,V ngm-3,1889.3,V ngm-3,39.55,V ngm-3,,,,,,,,,,,,,
19/10/2011,26/10/2011,,,,,,,,,,,,,3.12,V ngm-3,235.3,V ngm-3,19.4,V ngm-3,20.28,V ngm-3,767.8,V ngm-3,35.26,V ngm-3,
26/10/2011,02/11/2011,,,,,,,,,,,,,3,V ngm-3,164.9,V ngm-3,16.37,V ngm-3,33.26,V ngm-3,648.8,V ngm-3,44.83,V ngm-3,
02/11/2011,09/11/2011,,,,,,,,,,,,,7.92,V ngm-3,132.8,V ngm-3,20.78,V ngm-3,36.18,V ngm-3,819.7,V ngm-3,86.88,V ngm-3,
09/11/2011,16/11/2011,,,,,,,,,,,,,4.32,V ngm-3,225.6,V ngm-3,40.59,V ngm-3,21.26,V ngm-3,599.3,V ngm-3,58.05,V ngm-3,
26/10/2011,23/11/2011,23.86,V ngm-3,448,V ngm-3,31.21,V ngm-3,86.1,V ngm-3,1727,V ngm-3,48.89,V ngm-3,,,,,,,,,,,,,
16/11/2011,23/11/2011,,,,,,,,,,,,,4.56,V ngm-3,180.5,V ngm-3,19.4,V ngm-3,28.68,V ngm-3,918.8,V ngm-3,40.84,V ngm-3,
23/11/2011,01/12/2011,,,,,,,,,,,,,4.29,V ngm-3,84.3,V ngm-3,8.16,V ngm-3,20.45,V ngm-3,503.2,V ngm-3,21.61,V ngm-3,
01/12/2011,09/12/2011,,,,,,,,,,,,,3.48,V ngm-3,79.1,V ngm-3,6.1,V ngm-3,18.17,V ngm-3,463.4,V ngm-3,15.43,V ngm-3,
