Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2015
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2015,01/01/2015,,,,,,,,,,,,,2.84,V ngm-3,155.5,V ngm-3,18.37,V ngm-3,20.01,V ngm-3,516.1,V ngm-3,17.16,V ngm-3,
01/01/2015,07/01/2015,,,,,,,,,,,,,2.85,V ngm-3,161.3,V ngm-3,24.45,V ngm-3,18.36,V ngm-3,627.4,V ngm-3,28.44,V ngm-3,
01/01/2015,14/01/2015,9.96,V ngm-3,270.6,V ngm-3,10.71,V ngm-3,49.5,V ngm-3,1416.8,V ngm-3,25.96,V ngm-3,,,,,,,,,,,,,
07/01/2015,16/01/2015,,,,,,,,,,,,,2.1,V ngm-3,47.5,V ngm-3,3.42,V ngm-3,14.91,V ngm-3,379.7,V ngm-3,6.58,V ngm-3,
16/01/2015,22/01/2015,,,,,,,,,,,,,7.13,V ngm-3,141.8,V ngm-3,16.97,V ngm-3,,,,,,,
16/01/2015,23/01/2015,,,,,,,,,,,,,,,,,,,26.32,V ngm-3,685,V ngm-3,35.54,V ngm-3,
22/01/2015,28/01/2015,,,,,,,,,,,,,3.17,V ngm-3,102.7,V ngm-3,9.3,V ngm-3,,,,,,,
23/01/2015,28/01/2015,,,,,,,,,,,,,,,,,,,17.13,V ngm-3,480,V ngm-3,13.07,V ngm-3,
28/01/2015,05/02/2015,,,,,,,,,,,,,2.07,V ngm-3,62.3,V ngm-3,4.35,V ngm-3,20.46,V ngm-3,509.4,V ngm-3,11.71,V ngm-3,
14/01/2015,11/02/2015,19.39,V ngm-3,574,V ngm-3,27.65,V ngm-3,44.24,V ngm-3,1351.4,V ngm-3,33.73,V ngm-3,,,,,,,,,,,,,
05/02/2015,11/02/2015,,,,,,,,,,,,,5.34,V ngm-3,257.4,V ngm-3,27.72,V ngm-3,31.3,V ngm-3,879.8,V ngm-3,50.58,V ngm-3,
11/02/2015,18/02/2015,,,,,,,,,,,,,6.51,V ngm-3,239.8,V ngm-3,23.32,V ngm-3,,,,,,,
18/02/2015,25/02/2015,,,,,,,,,,,,,3.61,V ngm-3,82,V ngm-3,6.78,V ngm-3,,,,,,,
25/02/2015,04/03/2015,,,,,,,,,,,,,2.42,V ngm-3,60.9,V ngm-3,3.36,V ngm-3,,,,,,,
11/02/2015,11/03/2015,14.36,V ngm-3,515.3,V ngm-3,19.16,V ngm-3,53.31,V ngm-3,1566.9,V ngm-3,38.24,V ngm-3,,,,,,,,,,,,,
04/03/2015,11/03/2015,,,,,,,,,,,,,2.8,V ngm-3,121.7,V ngm-3,8.65,V ngm-3,16.89,V ngm-3,641.1,V ngm-3,24.66,V ngm-3,
11/03/2015,18/03/2015,,,,,,,,,,,,,3.03,V ngm-3,199.5,V ngm-3,14.58,V ngm-3,19.11,V ngm-3,982,V ngm-3,52.58,V ngm-3,
18/03/2015,25/03/2015,,,,,,,,,,,,,5.15,V ngm-3,220.9,V ngm-3,17.32,V ngm-3,33.63,V ngm-3,765.3,V ngm-3,33.66,V ngm-3,
25/03/2015,30/03/2015,,,,,,,,,,,,,1.97,V ngm-3,116.8,V ngm-3,8.51,V ngm-3,13.91,V ngm-3,521,V ngm-3,30.9,V ngm-3,
11/03/2015,08/04/2015,15.7,V ngm-3,508.2,V ngm-3,24.79,V ngm-3,43.17,V ngm-3,1268.3,V ngm-3,33.02,V ngm-3,,,,,,,,,,,,,
30/03/2015,08/04/2015,,,,,,,,,,,,,2.85,V ngm-3,144.8,V ngm-3,12.33,V ngm-3,15.57,V ngm-3,507.5,V ngm-3,22.54,V ngm-3,
08/04/2015,15/04/2015,,,,,,,,,,,,,4.74,V ngm-3,249.3,V ngm-3,25.07,V ngm-3,25.54,V ngm-3,630.5,V ngm-3,26.75,V ngm-3,
15/04/2015,22/04/2015,,,,,,,,,,,,,4.74,V ngm-3,254.5,V ngm-3,13.31,V ngm-3,22.49,V ngm-3,681.4,V ngm-3,36.38,V ngm-3,
22/04/2015,29/04/2015,,,,,,,,,,,,,3.25,V ngm-3,208.4,V ngm-3,11.04,V ngm-3,17.79,V ngm-3,463,V ngm-3,22.09,V ngm-3,
08/04/2015,06/05/2015,,,,,,,54.81,V ngm-3,1494.8,V ngm-3,32.06,V ngm-3,,,,,,,,,,,,,
29/04/2015,06/05/2015,,,,,,,,,,,,,1.73,V ngm-3,89.4,V ngm-3,11.05,V ngm-3,9.39,V ngm-3,295.7,V ngm-3,10.51,V ngm-3,
08/04/2015,07/05/2015,13.85,V ngm-3,459.9,V ngm-3,16.54,V ngm-3,,,,,,,,,,,,,,,,,,,
06/05/2015,13/05/2015,,,,,,,,,,,,,2.29,V ngm-3,105.5,V ngm-3,11.88,V ngm-3,10.94,V ngm-3,323.4,V ngm-3,12.59,V ngm-3,
13/05/2015,20/05/2015,,,,,,,,,,,,,1.65,V ngm-3,114.5,V ngm-3,9.21,V ngm-3,16.48,V ngm-3,393.9,V ngm-3,16.05,V ngm-3,
20/05/2015,28/05/2015,,,,,,,,,,,,,2.33,V ngm-3,117.3,V ngm-3,7.23,V ngm-3,13.8,V ngm-3,398.3,V ngm-3,12.16,V ngm-3,
07/05/2015,03/06/2015,13.16,V ngm-3,441.7,V ngm-3,14.3,V ngm-3,,,,,,,,,,,,,,,,,,,
06/05/2015,03/06/2015,,,,,,,60.74,V ngm-3,1686.2,V ngm-3,28.62,V ngm-3,,,,,,,,,,,,,
28/05/2015,03/06/2015,,,,,,,,,,,,,1.31,V ngm-3,80.9,V ngm-3,4.47,V ngm-3,10.04,V ngm-3,282.7,V ngm-3,9.53,V ngm-3,
03/06/2015,10/06/2015,,,,,,,,,,,,,2.22,V ngm-3,100.2,V ngm-3,8.63,V ngm-3,19.57,V ngm-3,567,V ngm-3,24.4,V ngm-3,
10/06/2015,17/06/2015,,,,,,,,,,,,,3.34,V ngm-3,186.9,V ngm-3,11.25,V ngm-3,26.08,V ngm-3,497.9,V ngm-3,24.71,V ngm-3,
17/06/2015,25/06/2015,,,,,,,,,,,,,1.65,V ngm-3,75.8,V ngm-3,3.32,V ngm-3,15.14,V ngm-3,344.8,V ngm-3,9.1,V ngm-3,
03/06/2015,29/06/2015,16.4,V ngm-3,538.8,V ngm-3,19.14,V ngm-3,,,,,,,,,,,,,,,,,,,
03/06/2015,01/07/2015,,,,,,,63.07,V ngm-3,1698.7,V ngm-3,32.01,V ngm-3,,,,,,,,,,,,,
25/06/2015,01/07/2015,,,,,,,,,,,,,2.55,V ngm-3,146.1,V ngm-3,11.25,V ngm-3,10.83,V ngm-3,545.4,V ngm-3,19.13,V ngm-3,
01/07/2015,08/07/2015,,,,,,,,,,,,,2.25,V ngm-3,116.8,V ngm-3,6.89,V ngm-3,13.43,V ngm-3,363.5,V ngm-3,11.87,V ngm-3,
08/07/2015,15/07/2015,,,,,,,,,,,,,2.17,V ngm-3,146.3,V ngm-3,7.04,V ngm-3,15.91,V ngm-3,408.5,V ngm-3,13.15,V ngm-3,
01/07/2015,22/07/2015,,,,,,,85.65,V ngm-3,2238.6,V ngm-3,40.1,V ngm-3,,,,,,,,,,,,,
15/07/2015,22/07/2015,,,,,,,,,,,,,3.08,V ngm-3,98.1,V ngm-3,7.26,V ngm-3,15.57,V ngm-3,524.3,V ngm-3,16.45,V ngm-3,
29/06/2015,29/07/2015,13.15,V ngm-3,420.5,V ngm-3,15.33,V ngm-3,,,,,,,,,,,,,,,,,,,
22/07/2015,29/07/2015,,,,,,,,,,,,,1.59,V ngm-3,82.3,V ngm-3,4.38,V ngm-3,24.31,V ngm-3,487.4,V ngm-3,14.08,V ngm-3,
29/07/2015,05/08/2015,,,,,,,,,,,,,2.8,V ngm-3,162,V ngm-3,8.68,V ngm-3,15.23,V ngm-3,535,V ngm-3,21.37,V ngm-3,
05/08/2015,12/08/2015,,,,,,,,,,,,,2.4,V ngm-3,182.3,V ngm-3,15.33,V ngm-3,28.93,V ngm-3,657.9,V ngm-3,31.12,V ngm-3,
12/08/2015,19/08/2015,,,,,,,,,,,,,5.22,V ngm-3,190.4,V ngm-3,30.66,V ngm-3,24.92,V ngm-3,559.8,V ngm-3,23.43,V ngm-3,
01/08/2015,26/08/2015,,,,,,,69.37,V ngm-3,1783.9,V ngm-3,32.78,V ngm-3,,,,,,,,,,,,,
19/08/2015,26/08/2015,,,,,,,,,,,,,3.01,V ngm-3,74.9,V ngm-3,6.55,V ngm-3,27.11,V ngm-3,418.4,V ngm-3,16.73,V ngm-3,
29/07/2015,27/08/2015,13.07,V ngm-3,406.5,V ngm-3,23.21,V ngm-3,,,,,,,,,,,,,,,,,,,
26/08/2015,02/09/2015,,,,,,,,,,,,,2.28,V ngm-3,54.5,V ngm-3,4.01,V ngm-3,50.46,V ngm-3,355.2,V ngm-3,9.59,V ngm-3,
02/09/2015,09/09/2015,,,,,,,,,,,,,2.45,V ngm-3,90.4,V ngm-3,4.4,V ngm-3,27.71,V ngm-3,538.1,V ngm-3,16.58,V ngm-3,
09/09/2015,16/09/2015,,,,,,,,,,,,,3.14,V ngm-3,128.2,V ngm-3,10.6,V ngm-3,21.38,V ngm-3,553.2,V ngm-3,26.11,V ngm-3,
27/08/2015,22/09/2015,16.35,V ngm-3,469.1,V ngm-3,21.42,V ngm-3,,,,,,,,,,,,,,,,,,,
26/08/2015,23/09/2015,,,,,,,48.52,V ngm-3,1268.6,V ngm-3,24.14,V ngm-3,,,,,,,,,,,,,
16/09/2015,23/09/2015,,,,,,,,,,,,,2.66,V ngm-3,82.2,V ngm-3,5.23,V ngm-3,24.02,V ngm-3,502.4,V ngm-3,13.73,V ngm-3,
23/09/2015,30/09/2015,,,,,,,,,,,,,3.46,V ngm-3,113.5,V ngm-3,6.71,V ngm-3,24.71,V ngm-3,594.6,V ngm-3,17.24,V ngm-3,
30/09/2015,07/10/2015,,,,,,,,,,,,,4.28,V ngm-3,173.1,V ngm-3,11.62,V ngm-3,,,,,,,
30/09/2015,08/10/2015,,,,,,,,,,,,,,,,,,,26.65,V ngm-3,726.7,V ngm-3,25.99,V ngm-3,
07/10/2015,14/10/2015,,,,,,,,,,,,,4.17,V ngm-3,155.1,V ngm-3,12.55,V ngm-3,,,,,,,
08/10/2015,14/10/2015,,,,,,,,,,,,,,,,,,,53.38,V ngm-3,842.5,V ngm-3,26.82,V ngm-3,
22/09/2015,20/10/2015,21.04,V ngm-3,607.9,V ngm-3,25.62,V ngm-3,,,,,,,,,,,,,,,,,,,
23/09/2015,21/10/2015,,,,,,,45.72,V ngm-3,1232.6,V ngm-3,27.35,V ngm-3,,,,,,,,,,,,,
14/10/2015,21/10/2015,,,,,,,,,,,,,5.78,V ngm-3,189.7,V ngm-3,16.57,V ngm-3,25.29,V ngm-3,638.9,V ngm-3,29.97,V ngm-3,
21/10/2015,28/10/2015,,,,,,,,,,,,,2.8,V ngm-3,101.2,V ngm-3,8.77,V ngm-3,20.37,V ngm-3,541.7,V ngm-3,25.45,V ngm-3,
28/10/2015,05/11/2015,,,,,,,,,,,,,8.65,V ngm-3,266.7,V ngm-3,18.29,V ngm-3,48.53,V ngm-3,1280.6,V ngm-3,50.78,V ngm-3,
05/11/2015,11/11/2015,,,,,,,,,,,,,8.71,V ngm-3,83.2,V ngm-3,12.05,V ngm-3,20.31,V ngm-3,321.6,V ngm-3,18.7,V ngm-3,
20/10/2015,18/11/2015,21.81,V ngm-3,532.2,V ngm-3,30.28,V ngm-3,,,,,,,,,,,,,,,,,,,
21/10/2015,18/11/2015,,,,,,,69.62,V ngm-3,1797.2,V ngm-3,39.31,V ngm-3,,,,,,,,,,,,,
11/11/2015,18/11/2015,,,,,,,,,,,,,4.52,V ngm-3,356.2,V ngm-3,3.75,V ngm-3,14.16,V ngm-3,853.8,V ngm-3,11.7,V ngm-3,
18/11/2015,25/11/2015,,,,,,,,,,,,,2.85,V ngm-3,164.2,V ngm-3,7.01,V ngm-3,29.64,V ngm-3,463.7,V ngm-3,12.27,V ngm-3,
25/11/2015,03/12/2015,,,,,,,,,,,,,3.34,V ngm-3,201.1,V ngm-3,3.43,V ngm-3,12.67,V ngm-3,330,V ngm-3,8.9,V ngm-3,
03/12/2015,09/12/2015,,,,,,,,,,,,,2.53,V ngm-3,270.3,V ngm-3,4.22,V ngm-3,10.34,V ngm-3,375.4,V ngm-3,10.23,V ngm-3,
18/11/2015,15/12/2015,12.03,V ngm-3,364.5,V ngm-3,17.76,V ngm-3,,,,,,,,,,,,,,,,,,,
20/11/2015,16/12/2015,,,,,,,54.42,V ngm-3,1528.8,V ngm-3,30.75,V ngm-3,,,,,,,,,,,,,
09/12/2015,16/12/2015,,,,,,,,,,,,,3.09,V ngm-3,146.7,V ngm-3,8.94,V ngm-3,14.86,V ngm-3,545.1,V ngm-3,28.55,V ngm-3,
16/12/2015,23/12/2015,,,,,,,,,,,,,2.59,V ngm-3,232,V ngm-3,4.39,V ngm-3,8.49,V ngm-3,339.5,V ngm-3,6.16,V ngm-3,
23/12/2015,30/12/2015,,,,,,,,,,,,,1.8,V ngm-3,419.2,V ngm-3,5.42,V ngm-3,4.29,V ngm-3,609,V ngm-3,5.15,V ngm-3,
15/12/2015,31/12/2015,10.69,V ngm-3,394,V ngm-3,14.17,V ngm-3,,,,,,,,,,,,,,,,,,,
16/12/2015,31/12/2015,,,,,,,46.13,V ngm-3,1416.7,V ngm-3,23.2,V ngm-3,,,,,,,,,,,,,
30/12/2015,31/12/2015,,,,,,,,,,,,,4.84,V ngm-3,92.2,V ngm-3,4.16,V ngm-3,23.89,V ngm-3,386.5,V ngm-3,10.13,V ngm-3,
Data for year 2016
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2016,06/01/2016,,,,,,,,,,,,,4.88,V ngm-3,93.1,V ngm-3,4.2,V ngm-3,24.37,V ngm-3,394.2,V ngm-3,10.33,V ngm-3,
01/01/2016,12/01/2016,10.69,V ngm-3,393.7,V ngm-3,14.16,V ngm-3,,,,,,,,,,,,,,,,,,,
01/01/2016,13/01/2016,,,,,,,48.07,V ngm-3,1476.4,V ngm-3,24.18,V ngm-3,,,,,,,,,,,,,
06/01/2016,13/01/2016,,,,,,,,,,,,,2.64,V ngm-3,125.1,V ngm-3,5.21,V ngm-3,26.39,V ngm-3,628.3,V ngm-3,13.86,V ngm-3,
13/01/2016,20/01/2016,,,,,,,,,,,,,3.7,V ngm-3,163.5,V ngm-3,10.86,V ngm-3,44.24,V ngm-3,740.4,V ngm-3,30.79,V ngm-3,
20/01/2016,27/01/2016,,,,,,,,,,,,,2.34,V ngm-3,219.7,V ngm-3,9.82,V ngm-3,7.22,V ngm-3,588.8,V ngm-3,19.7,V ngm-3,
27/01/2016,03/02/2016,,,,,,,,,,,,,1.45,V ngm-3,50.6,V ngm-3,2.03,V ngm-3,13.85,V ngm-3,364.2,V ngm-3,11.4,V ngm-3,
12/01/2016,10/02/2016,15.08,V ngm-3,415.4,V ngm-3,21.24,V ngm-3,,,,,,,,,,,,,,,,,,,
13/01/2016,10/02/2016,,,,,,,52.24,V ngm-3,1650.5,V ngm-3,34.28,V ngm-3,,,,,,,,,,,,,
03/02/2016,10/02/2016,,,,,,,,,,,,,1.65,V ngm-3,58.2,V ngm-3,2.74,V ngm-3,11.69,V ngm-3,336.1,V ngm-3,10.72,V ngm-3,
10/02/2016,17/02/2016,,,,,,,,,,,,,2.65,V ngm-3,128.6,V ngm-3,8.74,V ngm-3,53.87,V ngm-3,611.8,V ngm-3,25.16,V ngm-3,
17/02/2016,24/02/2016,,,,,,,,,,,,,2.13,V ngm-3,62.7,V ngm-3,5.35,V ngm-3,47.35,V ngm-3,505,V ngm-3,16.44,V ngm-3,
24/02/2016,02/03/2016,,,,,,,,,,,,,3.55,V ngm-3,160.4,V ngm-3,9.96,V ngm-3,32.04,V ngm-3,605.4,V ngm-3,33.19,V ngm-3,
10/02/2016,08/03/2016,15.1,V ngm-3,473.1,V ngm-3,21.5,V ngm-3,,,,,,,,,,,,,,,,,,,
10/02/2016,09/03/2016,,,,,,,47.98,V ngm-3,1441.8,V ngm-3,35.78,V ngm-3,,,,,,,,,,,,,
02/03/2016,09/03/2016,,,,,,,,,,,,,1.62,V ngm-3,60.2,V ngm-3,2.93,V ngm-3,18.04,V ngm-3,410.5,V ngm-3,13.12,V ngm-3,
09/03/2016,16/03/2016,,,,,,,,,,,,,4.04,V ngm-3,211,V ngm-3,18.55,V ngm-3,26.82,V ngm-3,618.9,V ngm-3,25.86,V ngm-3,
16/03/2016,23/03/2016,,,,,,,,,,,,,4.96,V ngm-3,235.2,V ngm-3,17.49,V ngm-3,28.64,V ngm-3,724.8,V ngm-3,36.64,V ngm-3,
23/03/2016,30/03/2016,,,,,,,,,,,,,2.68,V ngm-3,119.3,V ngm-3,6.08,V ngm-3,9.6,V ngm-3,283,V ngm-3,9.02,V ngm-3,
09/03/2016,06/04/2016,,,,,,,43.39,V ngm-3,1282.1,V ngm-3,29.6,V ngm-3,,,,,,,,,,,,,
30/03/2016,06/04/2016,,,,,,,,,,,,,2.55,V ngm-3,140.6,V ngm-3,11.52,V ngm-3,12.03,V ngm-3,387.9,V ngm-3,16.17,V ngm-3,
08/03/2016,07/04/2016,13.85,V ngm-3,430.7,V ngm-3,20.15,V ngm-3,,,,,,,,,,,,,,,,,,,
06/04/2016,13/04/2016,,,,,,,,,,,,,2.15,V ngm-3,78.8,V ngm-3,10.67,V ngm-3,18.85,V ngm-3,431.5,V ngm-3,17.51,V ngm-3,
13/04/2016,20/04/2016,,,,,,,,,,,,,9.55,V ngm-3,128.4,V ngm-3,10.02,V ngm-3,19.36,V ngm-3,466.9,V ngm-3,15.37,V ngm-3,
20/04/2016,27/04/2016,,,,,,,,,,,,,2.14,V ngm-3,108.8,V ngm-3,5.29,V ngm-3,17.36,V ngm-3,428.9,V ngm-3,13.08,V ngm-3,
06/04/2016,04/05/2016,,,,,,,38.23,V ngm-3,1108.7,V ngm-3,22.72,V ngm-3,,,,,,,,,,,,,
27/04/2016,04/05/2016,,,,,,,,,,,,,4.2,V ngm-3,80.9,V ngm-3,7.95,V ngm-3,28.57,V ngm-3,395.8,V ngm-3,11.96,V ngm-3,
07/04/2016,05/05/2016,12.55,V ngm-3,408.1,V ngm-3,16.23,V ngm-3,,,,,,,,,,,,,,,,,,,
04/05/2016,11/05/2016,,,,,,,,,,,,,5.59,V ngm-3,221.3,V ngm-3,16.45,V ngm-3,22.2,V ngm-3,647.1,V ngm-3,34.14,V ngm-3,
11/05/2016,18/05/2016,,,,,,,,,,,,,8.43,V ngm-3,134.7,V ngm-3,8.79,V ngm-3,22.65,V ngm-3,472.8,V ngm-3,17.07,V ngm-3,
18/05/2016,25/05/2016,,,,,,,,,,,,,1.96,V ngm-3,60.9,V ngm-3,4.56,V ngm-3,24.41,V ngm-3,330.8,V ngm-3,10.59,V ngm-3,
05/05/2016,01/06/2016,14,V ngm-3,478.7,V ngm-3,19.26,V ngm-3,,,,,,,,,,,,,,,,,,,
25/05/2016,01/06/2016,,,,,,,,,,,,,2.98,V ngm-3,147.9,V ngm-3,9.97,V ngm-3,35.84,V ngm-3,473.4,V ngm-3,23.37,V ngm-3,
01/06/2016,08/06/2016,,,,,,,,,,,,,4.34,V ngm-3,224.2,V ngm-3,15.25,V ngm-3,50.62,V ngm-3,515.3,V ngm-3,25.42,V ngm-3,
08/06/2016,15/06/2016,,,,,,,,,,,,,3.77,V ngm-3,229,V ngm-3,10.43,V ngm-3,11.98,V ngm-3,425.8,V ngm-3,15.43,V ngm-3,
15/06/2016,22/06/2016,,,,,,,,,,,,,2.57,V ngm-3,69.7,V ngm-3,3.75,V ngm-3,12.08,V ngm-3,358.5,V ngm-3,9.81,V ngm-3,
22/06/2016,29/06/2016,,,,,,,,,,,,,1.66,V ngm-3,60.2,V ngm-3,2.97,V ngm-3,10.34,V ngm-3,564.2,V ngm-3,10.44,V ngm-3,
01/06/2016,30/06/2016,13.04,V ngm-3,394.9,V ngm-3,13.45,V ngm-3,,,,,,,,,,,,,,,,,,,
29/06/2016,07/07/2016,,,,,,,,,,,,,2.16,V ngm-3,74.1,V ngm-3,2.86,V ngm-3,13.37,V ngm-3,394.3,V ngm-3,8.16,V ngm-3,
07/07/2016,13/07/2016,,,,,,,,,,,,,1.67,V ngm-3,43.5,V ngm-3,2.3,V ngm-3,10.08,V ngm-3,286.2,V ngm-3,6,V ngm-3,
13/07/2016,20/07/2016,,,,,,,,,,,,,5.12,V ngm-3,161.6,V ngm-3,7.1,V ngm-3,17.38,V ngm-3,526.2,V ngm-3,15.57,V ngm-3,
29/06/2016,27/07/2016,,,,,,,63.95,V ngm-3,1719.4,V ngm-3,33.4,V ngm-3,,,,,,,,,,,,,
20/07/2016,27/07/2016,,,,,,,,,,,,,2.25,V ngm-3,79.3,V ngm-3,5.4,V ngm-3,13.98,V ngm-3,353.2,V ngm-3,10.11,V ngm-3,
30/06/2016,28/07/2016,11.61,V ngm-3,379.3,V ngm-3,12.98,V ngm-3,,,,,,,,,,,,,,,,,,,
27/07/2016,03/08/2016,,,,,,,,,,,,,2.52,V ngm-3,54.8,V ngm-3,10.47,V ngm-3,15.52,V ngm-3,378.5,V ngm-3,13.49,V ngm-3,
03/08/2016,10/08/2016,,,,,,,,,,,,,2.01,V ngm-3,75.7,V ngm-3,4.18,V ngm-3,14.37,V ngm-3,392.7,V ngm-3,9.21,V ngm-3,
10/08/2016,17/08/2016,,,,,,,,,,,,,2.72,V ngm-3,109.5,V ngm-3,6.16,V ngm-3,18.92,V ngm-3,479,V ngm-3,15.16,V ngm-3,
28/07/2016,23/08/2016,11.65,V ngm-3,385.1,V ngm-3,13.34,V ngm-3,,,,,,,,,,,,,,,,,,,
